index_id,t,cap,quote,provenance
eqidx_vol17,0,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,1,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,2,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,3,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,4,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,5,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,6,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,7,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,8,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,9,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,10,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,11,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,12,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,13,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,14,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,15,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,16,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,17,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,18,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,19,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,20,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,21,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,22,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,23,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,24,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,25,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,26,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,27,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,28,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,29,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,30,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,31,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,32,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,33,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,34,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,35,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,36,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
eqidx_vol17,37,0.0300,0.6000,"[std] Cap 3.00 pct monthly, midpoint of an argued 1.5-5.0 pct band; Quote 60 pct on a broad price index -- no carrier level established [S5] [R21]"
