elect_id,t,w,provenance
always_index,0,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,1,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,2,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,3,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,4,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,5,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,6,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,7,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,8,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,9,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,10,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,11,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,12,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,13,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,14,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,15,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,16,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,17,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,18,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,19,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,20,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,21,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,22,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,23,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
always_index,24,1.0000,[std] Wahlrecht path -- full Indexbeteiligung every year; the base run
